StoreID,name,address,latitude,longitude,hours,runtime
8722,Box Hill ,"Unit 4, 4 Terry Road<br>Box Hill NSW 2765",-33.6591559,150.894539,"['Monday: 09:00:00 to 17:00:00', 'Tuesday: 09:00:00 to 17:00:00', 'Wednesday: 09:00:00 to 17:00:00', 'Thursday: 09:00:00 to 17:00:00', 'Friday: 09:00:00 to 17:00:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
118,Braybrook,294-296 Ballarat Road<br>Braybrook VIC 3019,-37.7794061,144.8537849,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
8801,Brendale,170  Kremzow Road<br>Brendale QLD 4500,-27.3150954,152.963929,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
562,Brighton,429 Brighton Road<br>Brighton SA 5048,-35.0149314,138.5222787,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
0742,Broadmeadows,1185-1193 Pascoe Vale Road<br>Broadmeadows VIC 3047,-37.6758237,144.9224206,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
8647,Brookvale,11 Dale Street<br>Brookvale NSW 2100,-33.7648009,151.2668506,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:30:00', 'Sunday: Closed']",2025-10-19 15:40:22
8692,Browns Plains,"Shop 3, 28-48 Browns Plains  Rd<br>Browns Plains QLD 4118",-27.6600139,153.0390511,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
910,Brunswick,740 Sydney Road<br>Brunswick VIC 3056,-37.7598833,144.9635576,"['Monday: 09:30:00 to 17:30:00', 'Tuesday: 09:30:00 to 17:30:00', 'Wednesday: 09:30:00 to 17:30:00', 'Thursday: 09:30:00 to 17:30:00', 'Friday: 09:30:00 to 17:30:00', 'Saturday: 09:30:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
668,Bunbury,53 Albert Road<br>Bunbury WA 6230,-33.3348775,115.6485928,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
8861,Bundall,"Shop G8, 47 Ashmore Road<br>Bundall QLD 4217",-28.0100421,153.4041121,"['Monday: 09:00:00 to 17:30:00', 'Tuesday: 09:00:00 to 17:30:00', 'Wednesday: 09:00:00 to 17:30:00', 'Thursday: 09:00:00 to 17:30:00', 'Friday: 09:00:00 to 17:30:00', 'Saturday: 09:00:00 to 17:00:00', 'Sunday: Closed']",2025-10-19 15:40:22
