company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
UK GYM TEK LTD,SC841449,Active,Private limited company,,,2025-03-15,,,33110 33120 33190 93130,"Unit 13, Kirkcaldy Enterprise Centre Mitchelston Drive Mitchelston Industrial Estate Kirkcaldy KY1 3NF Scotland"
ZERO GENETICS GYM LTD,16880018,Active,Private limited company,,,2025-11-28,,,96040,"Abraham Chartered Certified Accountants, 46 Houghton Place Bradford BD1 3RG United Kingdom"
HER PLACE GYM GROUP LTD,16882489,Active,Private limited company,,,2025-12-01,,,93130,Office Suite 2 Fort Bridgewood Maidstone Road Rochester ME1 3DQ United Kingdom
GYM ON LONDON STRATFORD LTD,16883698,Active,Private limited company,,,2025-12-01,,,93120,2 Chatfield Road London SW11 3SD United Kingdom
FOUNDRY GYM MANCHESTER LTD,16820304,Active,Private limited company,,,2025-10-30,,,93130,37 Abacus Building Warwick Street Birmingham B12 0NW United Kingdom
BASIC GYM NOTTINGHAM LIMITED,16818749,Active,Private limited company,,,2025-10-29,,,94120,First Floor Office 3 Hornton Place London W8 4LZ United Kingdom
BABY GYM LTD,16938172,Active,Private limited company,,,2025-12-31,,,93130 96040,4 Oakdale Road London N4 1NX England
PUMP’D GYM MANAGEMENT LTD,16935734,Active,Private limited company,,,2025-12-30,,,93130,Fabbro Manor Goatsmoor Lane Stock Ingatestone CM4 9RS England
STUDIO STRIVE GYM LTD,16277014,Active,Private limited company,,,2025-02-26,,,93130,606 Masson Place Hornbeam Way Manchester M4 4AQ England
INNOV8 GYM (WARRENPOINT) LTD,NI735970,Active,Private limited company,,,2025-12-08,,,93130,34 Knockmoyle Drive Antrim BT41 1HE Northern Ireland
YOUR LIFE GYM LIMITED,16902879,Active,Private limited company,,,2025-12-10,,,85590 86900 96040,71-75 Shelton Street Covent Garden London WC2H 9JQ United Kingdom
PATTERN GYM CIC,16381278,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2025-04-11,,,86900 93130,76b Falkland Road London N8 0NP United Kingdom
L & K FOUNDRY GYM LTD,16900695,Active,Private limited company,,,2025-12-09,,,93110,113 Belvoir Road Coalville LE67 3PH England
CUSTOM GYM INTERIORS LIMITED,16899917,Active,Private limited company,,,2025-12-09,,,43330,231-233 Elliott Street Tyldesley Manchester M29 8DG England
M27 GYM LTD,16382974,Active,Private limited company,,,2025-04-11,,,93130 93199,73a London Road Alderley Edge SK9 7DY England
